07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart
	161021977	472147-001	ZP02	K38	K51	2475	        1	EA	03/01/2017	03/10/2017	03/21/2017	05/04/2017	03/13/2017	03/01/2017	00:00:00	09:51:26
	161021990	472147-001	ZP02	K38	K51	2475	        1	EA	03/02/2017	03/13/2017	03/21/2017	05/04/2017	03/13/2017	03/02/2017	00:00:00	09:51:25
	161021994	472147-001	ZP02	K38	K51	2475	        1	EA	03/03/2017	03/13/2017	03/21/2017	05/04/2017	03/13/2017	03/03/2017	00:00:00	09:51:25
	161022001	472147-001	ZP02	K38	K51	2475	        1	EA	03/03/2017	03/14/2017	03/21/2017	05/04/2017	03/13/2017	03/03/2017	00:00:00	09:51:25
	161022005	472147-001	ZP02	K38	K51	2475	        1	EA	03/03/2017	03/14/2017	03/21/2017	05/11/2017	03/13/2017	03/03/2017	00:00:00	09:51:25
	161061660	30279-0301	ZP02	K38	K51	2475	        1	EA	03/23/2017	03/31/2017	03/22/2017	05/10/2017	03/21/2017	03/23/2017	00:00:00	10:26:40
	161064109	30279-0301	ZGRT	K38	K51	2475	        1	EA	04/18/2017	04/21/2017	03/23/2017	05/10/2017	03/21/2017	04/18/2017	00:00:00	12:17:07
	161087209	30279-2401-0301	ZRW2	KA2	K51	2475	        1	EA	04/26/2017	04/27/2017	04/26/2017	05/05/2017	03/27/2017	04/26/2017	00:00:00	07:46:20
	161089041	30027-0000-02	ZP02	K38	K51	2475	        1	EA	03/20/2017	04/03/2017	04/24/2017	05/02/2017	03/27/2017	03/20/2017	00:00:00	04:01:39
	161089042	30027-0000-02	ZP02	K38	K51	2475	        1	EA	03/21/2017	04/04/2017	04/24/2017	05/02/2017	03/27/2017	03/21/2017	00:00:00	13:31:50
	161090419	473001	ZP02	K38	K51	2475	        1	EA	03/13/2017	03/22/2017	04/26/2017	05/31/2017	03/27/2017	03/13/2017	00:00:00	05:51:30
	161096501	473131-002	ZP02	K38	K51	2475	        1	EA	03/14/2017	04/04/2017	03/31/2017	05/30/2017	03/28/2017	03/14/2017	00:00:00	12:26:39
	161096550	472147-001	ZP02	K38	K51	2475	        1	EA	03/07/2017	03/16/2017	04/21/2017	05/31/2017	03/28/2017	03/07/2017	00:00:00	05:16:18
	161096551	472147-001	ZP02	K38	K51	2475	        1	EA	03/09/2017	03/20/2017	04/21/2017	06/26/2017	03/28/2017	03/09/2017	00:00:00	05:41:44
	161096558	472147-001	ZP02	K38	K51	2475	        1	EA	03/13/2017	03/21/2017	04/20/2017	06/27/2017	03/28/2017	03/13/2017	00:00:00	12:56:27
