07/25/2017                                                                                                              Dynamic List Display                                                                                                                      1


	Order	Activity	Work cntr.	Operation short text	Op. Qty	Actl Start	Act. start	Act.finish	Act.finish	              Move time	             Queue time	Sys.Status	Duration	                  Setup	User field	User field	              Wait time
	160065177	0021	CMA13000	Hums Troubleshoot	     1	08/26/2016	13:27:59	08/30/2016	13:01:57	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	08/30/2016	                  0.000
	160065177	0022	CMA11000	Hums Electrical Rework	     1	08/31/2016	12:11:33	08/31/2016	12:11:33	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	08/31/2016	                  0.000
	160065177	0023	CMQ13000	HUMS INSPECTION	     1	08/31/2016	12:11:33	08/31/2016	12:11:33	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	08/31/2016	                  0.000
	160065177	0024	CMA13000	HUMS TEST	     1	09/01/2016	06:42:03	09/01/2016	10:39:21	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	09/01/2016	                  0.000
	160065177	0025	CMA11000	Hums Electrical Rework	     1	09/06/2016	03:36:58	09/06/2016	03:36:58	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	09/06/2016	                  0.000
	160065177	0026	CMQ13000	HUMS INSPECTION	     1	09/06/2016	03:41:45	09/06/2016	03:41:45	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	09/06/2016	                  0.000
	160065177	0027	CMA13000	HUMS TEST	     1	09/27/2016	09:42:50	10/14/2016	13:31:35	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	10/14/2016	                  0.000
	160065177	0028	CMA11000	Hums Electrical Rework	     1	10/17/2016	05:31:21	10/17/2016	05:31:21	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	10/17/2016	                  0.000
	160065177	0029	CMA13000	HUMS TEST	     1	10/24/2016	06:31:27	11/07/2016	10:32:16	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	11/07/2016	                  0.000
	160065177	0030	CMA11000	Hums Electrical Rework	     1	11/08/2016	07:31:29	11/08/2016	07:31:29	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	11/08/2016	                  0.000
