07/25/2017                     Dynamic List Display                            1


	Order	Work cntr.	User field
	161410515	KIT02000	06/08/2017

	161419375	KIT02000	06/09/2017

	161419381	KIT02000	06/07/2017

	161421681	KIT02000	06/07/2017

	161422717	KIT02000	06/07/2017

	161422721	KIT02000	06/07/2017

	161435907	KIT02000	06/12/2017

	161435915	KIT02000	06/12/2017

	161437078	KIT02000	06/13/2017

	161437079	KIT02000	06/13/2017

	161463738	KIT02000	06/15/2017

	161463739	KIT02000	06/15/2017

	161463740	KIT02000	06/15/2017

	161463763	KIT02000	06/19/2017

	161463764	KIT02000	06/19/2017

	161467558	KIT02000	06/16/2017

	161467559	KIT02000	06/16/2017

	161467560	KIT02000	06/16/2017

	161467561	KIT02000	06/16/2017

	161467563	KIT02000	06/16/2017

	161467564	KIT02000	06/16/2017

	161469127	KIT02000	06/19/2017

	161481740	KIT02000	06/20/2017

	161481828	KIT02000	06/20/2017

	161483905	KIT02000	06/21/2017

	161483906	KIT02000	06/22/2017

	161483908	KIT02000	06/21/2017

	161490415	KIT02000	06/22/2017

	161490416	KIT02000	06/22/2017

	161496801	KIT02000	06/23/2017

	161503079	KIT02000	06/26/2017

	161510104	KIT02000	06/28/2017

	161510106	KIT02000	06/28/2017

	161510197	KIT02000	06/28/2017

	161510824	KIT02000	06/27/2017

	161510832	KIT02000	06/27/2017

	161520105	KIT02000	06/29/2017

	161520132	KIT02000	06/29/2017

	161546030	KIT02000	07/05/2017

	161546045	KIT02000	07/05/2017

	161546053	KIT02000	07/06/2017

	161546063	KIT02000	07/06/2017

	161554222	KIT02000	07/10/2017

	161554230	KIT02000	07/10/2017

	161571012	KIT02000	07/11/2017

	161571018	KIT02000	07/11/2017

	161571022	KIT02000	07/11/2017

	161571024	KIT02000	07/11/2017
