07/25/2017                                                                    Dynamic List Display                                                                           1

07/25/2017			                                                            Serial Numbers Assigned to Deliveries											  1

Serial Numbers Assigned to Deliveries

	DlvTy	Material		Delivery quantity	SU	Plnt	SLoc	Batch	Serial number	Ac.GI date	TRKID#	Forwarding agent tracking ID	Material Description
	ZLF	30279-0301		               1	EA	2475	SHP5	0017175111	B942-01650	05/30/2017	725539664703		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0017088630	0860	05/26/2017	725539663214		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	473131-002		               1	EA	2475	SHP5	0016742685	1515K	05/30/2017	725539664427		SIGNAL CONDITIONER  F-15
	ZLF	30305-0101		               1	EA	2475	SHP5	0017102658	0864	06/05/2017	725539669576		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0017224137	B942-01652	05/31/2017			VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30321-0101		               1	EA	2475	SHP5	0016516180	01574	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017103503	01621	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017103519	01622	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017103535	01623	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017103549	01624	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017116514	01625	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017116513	01626	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017116515	01627	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017116516	01628	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017125355	01629	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017125357	01632	05/30/2017	725539665294		MODULE REMOTE SENSOR INTERFACE
	ZLF	30277-1101		               1	EA	2475	SHP5	0015269897	00827	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0016975865	00901	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017001154	00904	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017076183	00911	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017076158	00910	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017066052	00909	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017066028	00908	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017001225	00906	05/31/2017	725539666500		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	473131-002		               1	EA	2475	SHP5	0016069965	1511K	05/30/2017	725539664975		SIGNAL CONDITIONER  F-15
	ZLF	30321-0101		               1	EA	2475	SHP5	0017153452	01636	05/30/2017	725539665272		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017153456	01635	05/30/2017	725539665272		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017090142	01617	05/30/2017	725539665272		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016252091	01556	05/30/2017	725539665272		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0015767867	01514	05/30/2017	725539665272		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0015319743	01482	05/30/2017	725539665272		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0015282186	01473	05/30/2017	725539665272		MODULE REMOTE SENSOR INTERFACE
	ZLF	30305-0101		               1	EA	2475	SHP5	0017152639	0865	06/02/2017	725539668157		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30321-0101		               1	EA	2475	SHP5	0017153453	01633	06/01/2017	725539667025		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017125356	01630	06/01/2017	725539667025		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017153455	01637	06/01/2017	725539667025		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017153454	01634	06/01/2017	725539667025		MODULE REMOTE SENSOR INTERFACE
	ZLF	30305-0101		               1	EA	2475	SHP5	0017088462	0858	05/30/2017	725539665250		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017178658	0872	06/07/2017	725539671131		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017102630	0863	06/07/2017	725539671495		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0016859700	B942-01629	06/05/2017	725539669110		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0016930327	B942-01637	06/07/2017	725539671793		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0017178631	0871	06/07/2017	725539670867		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30277-1101		               1	EA	2475	SHP5	0017189390	00915	06/06/2017	725539670570		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30305-0101		               1	EA	2475	SHP5	0016513532	0825	06/06/2017	725539670168		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30277-1101		               1	EA	2475	SHP5	0017248198	00918	06/06/2017	725539670570		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30305-0101		               1	EA	2475	SHP5	0017162376	0867	06/07/2017	725539671407		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017162408	0870	06/07/2017	725539671186		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30277-1101		               1	EA	2475	SHP5	0017256057	00921	06/06/2017	725539670570		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30305-0101		               1	EA	2475	SHP5	0017152655	0866	06/07/2017	725539671462		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	B478-1		               1	EA	2475	SHP5	0016774666	2348	06/06/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016774692	2349	06/06/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016804869	2355	06/06/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016819646	2367	06/06/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	30277-1101		               1	EA	2475	SHP5	0015486712	00841	06/06/2017	725539670570		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017153503	00913	06/06/2017	725539670570		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	472147-001		               1	EA	2475	SHP5	0016743201	4243	06/06/2017	725539670032		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	473001		               1	EA	2475	SHP5	0016256649	1764	06/06/2017	725539670000		LIQ LEVEL CONT  MC AIR F-15 C D
	ZLF	30277-1101		               1	EA	2475	SHP5	0017116175	00912	06/07/2017	725539671933		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30279-0301		               1	EA	2475	SHP5	0017275716	B942-01656	06/09/2017	725539673443		VEHICLE HEALTH MANAGEMENT UNIT
	LR	30279-0301		               1	EA	2475	RNN1	0017514431	B942-01594	06/26/2017			VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	473131-002		               1	EA	2475	SHP5	0016763601	1516K	06/09/2017	725539673682		SIGNAL CONDITIONER  F-15
	ZLF	473001		               1	EA	2475	SHP5	0016256618	1765	06/12/2017	725539674391		LIQ LEVEL CONT  MC AIR F-15 C D
	ZLF	472147-001		               1	EA	2475	SHP5	0016743788	4246	06/09/2017	725539673329		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30279-0301		               1	EA	2475	SHP5	0017275706	B942-01655	06/09/2017	725539673546		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017254634	B942-01654	06/08/2017	725539672171		VEHICLE HEALTH MANAGEMENT UNIT
	ZLO	30279-0404-0306		               1	EA	2475		0017054702	P22047	06/13/2017	725539675685		CIRCUIT CARD MOTHER BOARD IVHMU
	ZLF	30277-1101		               1	EA	2475	SHP5	0017256033	00920	06/12/2017	725539675300		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017273564	00922	06/12/2017	725539675300		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017288805	00923	06/12/2017	725539675300		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30305-0101		               1	EA	2475	SHP5	0017187025	0873	06/12/2017	725539674737		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	B478-1		               1	EA	2475	SHP5	0016819628	2366	06/12/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016774834	2352	06/12/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	30305-0101		               1	EA	2475	SHP5	0017187036	0874	06/16/2017	725539680331		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017226902	0875	06/16/2017	725539680331		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	472147-001		               1	EA	2475	SHP5	0016988863	4256	06/16/2017	725539679864		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30321-0101		               1	EA	2475	SHP5	0017090589	01619	06/13/2017	725539675917		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017125354	01631	06/13/2017	725539675917		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0017324405	B942-01658	06/15/2017	725539678375		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017324450	B942-01660	06/16/2017	725539679728		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0015939681	0787	06/15/2017	725539678548		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	472147-001		               1	EA	2475	SHP5	0016753587	4248	06/13/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	473131-002		               1	EA	2475	SHP5	0017050136	1518K	06/21/2017	725539684186		SIGNAL CONDITIONER  F-15
	ZLF	30279-0301		               1	EA	2475	SHP5	0017324418	B942-01659	06/15/2017	725539678971		VEHICLE HEALTH MANAGEMENT UNIT
	NL	472147-001		               1	EA	2475	SHP5	0016763749	4250	06/13/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016944873	4253	06/13/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016763774	4252	06/13/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0016944885	4254	06/16/2017	725539679886		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30279-0301		               1	EA	2475	SHP5	0016900420	B942-01634	06/13/2017	725539675858		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	472147-001		               1	EA	2475	SHP5	0016753574	4247	06/13/2017	725539675891		LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	B478-1		               1	EA	2475	SHP5	0016805213	2360	06/15/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016806087	2363	06/15/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016819549	2364	06/15/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016763100	2346	06/19/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016774711	2350	06/19/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016829969	2371	06/19/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	30279-0301		               1	EA	2475	SHP5	0017103386	B942-01649	06/20/2017	725539683250		VEHICLE HEALTH MANAGEMENT UNIT
	LR	30305-0101		               1	EA	2475	RNN1	0016215898	0803	06/16/2017			CONTROLLER TEMP ENGINE NOSE GEARBOX
	LR	30305-0101		               1	EA	2475	RNN1	0015749208	0782	06/16/2017			CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017276080	0876	06/19/2017	725539681511		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0017339931	B942-01662	06/21/2017	725539684315		VEHICLE HEALTH MANAGEMENT UNIT
	LR	30277-1101		               1	EA	2475	RNN1	0014664773	00796	06/16/2017			ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30321-0101		               1	EA	2475	SHP5	0017326419	01640	06/19/2017	725539681901		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017326422	01645	06/19/2017	725539681901		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017326425	01641	06/19/2017	725539681901		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017326428	01643	06/19/2017	725539681901		MODULE REMOTE SENSOR INTERFACE
	ZLF	30277-1101		               1	EA	2475	SHP5	0017321657	00925	06/19/2017	725539682264		ELECTRONIC CONTROL UNIT JSF-WBDDS
	NL	B478-1		               1	EA	2475	SHP5	0016753666	2344	06/22/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016763138	2347	06/22/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016774852	2353	06/22/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016804891	2356	06/22/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016805165	2357	06/22/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016805207	2359	06/22/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016829932	2369	06/22/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	30279-0301		               1	EA	2475	RNN1	0016930171	B942-01430	06/22/2017	725539685366		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017103354	B942-01647	06/23/2017	725539686774		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0017199529	2357	06/26/2017	725539688836		CONTROL UNIT  CANADAIR CL-601
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0017199581	2358	06/26/2017	725539688836		CONTROL UNIT  CANADAIR CL-601
	ZLF	30277-1101		               1	EA	2475	SHP5	0017321663	00926	06/23/2017	725539687336		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017340058	00927	06/23/2017	725539687336		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30130-01		               1	EA	2475	SHP5	0017089979	0984	06/22/2017	725539685940		LIQ LEV CONTROL UNIT MCAIR F-18
	ZLF	30130-01		               1	EA	2475	SHP5	0017089996	0985	06/22/2017	725539685940		LIQ LEV CONTROL UNIT MCAIR F-18
	LR	30279-0301		               1	EA	2475	RNN1	0017518680	B942-01650	06/26/2017			VEHICLE HEALTH MANAGEMENT UNIT
	ZLO	30330-0101		               1	EA	2475		TEMP	TEMP01	06/23/2017	725539686970		HUMS MMDC
	NL	B478-1		               1	EA	2475	SHP5	0016774743	2351	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016804841	2354	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016805180	2358	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016806039	2361	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	30305-0101		               1	EA	2475	SHP5	0017347839	0879	06/26/2017	725539687965		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	B478-1		               1	EA	2475	SHP5	0016806063	2362	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016819603	2365	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016829942	2370	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0016829978	2372	06/23/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	30007-0000-03		               1	EA	2475	SHP5	0016487300	4948	06/22/2017			IMBAL CONTROL
	NL	30007-0000-03		               1	EA	2475	SHP5	0016487362	4949	06/22/2017			IMBAL CONTROL
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0016944987	2356	06/22/2017	725539686260		CONTROL UNIT  CANADAIR CL-601
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0017248310	2359	06/22/2017	725539686260		CONTROL UNIT  CANADAIR CL-601
	ZLF	30305-0101		               1	EA	2475	SHP5	0017276098	0877	06/22/2017	725539685609		CONTROLLER TEMP ENGINE NOSE GEARBOX
	LR	473131-002		               1	EA	2475	RNN1	0017478850	1410G	06/21/2017			SIGNAL CONDITIONER  F-15
	ZLF	30279-0301		               1	EA	2475	SHP5	0017246013	B942-01653	06/28/2017	725539690505		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0017347869	0880	06/26/2017	725539688479		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0105		               1	EA	2475	SHP5	0017227385	00688	06/29/2017	725539691957		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0017346400	0878	06/27/2017	725539689475		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0016215896	0801	06/29/2017	725539691730		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	B478-1		               1	EA	2475	SHP5	0017437110	2377	06/29/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0017437146	2374	06/29/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	472147-001		               1	EA	2475	SHP5	0016743223	4244	06/27/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016763762	4251	06/27/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016969277	4255	06/27/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30279-0301		               1	EA	2475	SHP5	0017466865	B942-01667	06/29/2017	725539691729		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0105		               1	EA	2475	SHP5	0017324193	00689	06/29/2017	725539692200		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017466877	B942-01665	06/29/2017	725539693180		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017466871	B942-01664	06/29/2017	725539692828		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30190-0304		               1	EA	2475	SHP5	0017427459	1080	06/30/2017	725539694246		MPU
	ZLF	30279-0301		               1	EA	2475	SHP5	0017002964	B942-01641	06/29/2017	725539692368		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30277-1101		               1	EA	2475	SHP5	0017321630	00924	06/30/2017	725539695529		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30190-0304		               1	EA	2475	SHP5	0017427458	1079	06/30/2017	725539694007		MPU
	ZLF	30321-0101		               1	EA	2475	SHP5	0017351838	01649	06/29/2017	725539692872		MODULE REMOTE SENSOR INTERFACE
	NL	B478-1		               1	EA	2475	SHP5	0017437133	2379	06/30/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	30277-1101		               1	EA	2475	SHP5	0017189376	00914	06/30/2017	725539695529		ELECTRONIC CONTROL UNIT JSF-WBDDS
	NL	472147-001		               1	EA	2475	SHP5	0016743326	4245	07/05/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30321-0101		               1	EA	2475	SHP5	0017090167	01618	06/29/2017	725539693011		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017326423	01638	06/29/2017	725539693011		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017351667	01646	06/29/2017	725539693011		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017351676	01647	06/29/2017	725539693011		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017351684	01648	06/29/2017	725539693011		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017393559	01651	06/29/2017	725539693011		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017393561	01650	06/29/2017	725539693011		MODULE REMOTE SENSOR INTERFACE
	ZLF	30305-0101		               1	EA	2475	SHP5	0017427325	0883	07/07/2017	725539697977		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0017520753	B942-01669	07/10/2017	725539699237		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0017427324	0881	07/07/2017	725539697955		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	B478-1		               1	EA	2475	SHP5	0017479954	2383	07/07/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0017479952	2382	07/07/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	472147-001		               1	EA	2475	SHP5	0017520083	4257	07/10/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0017520102	4258	07/10/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0017520613	4259	07/10/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30130-01		               1	EA	2475	SHP5	0017437900	0987	07/10/2017	725539698995		LIQ LEV CONTROL UNIT MCAIR F-18
	ZLF	473131-002		               1	EA	2475	SHP5	0017186377	1519K	07/07/2017	725539697966		SIGNAL CONDITIONER  F-15
	LR	30279-0301		               1	EA	2475	RNN1	0017640449	B942-01614	07/11/2017			VEHICLE HEALTH MANAGEMENT UNIT
	LR	30279-0301		               1	EA	2475	RNN1	0017641003	B942-01585	07/13/2017			VEHICLE HEALTH MANAGEMENT UNIT
	LR	30279-0301		               1	EA	2475	RNN1	0017641382	B942-01518	07/11/2017			VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30321-0101		               1	EA	2475	SHP5	0017417565	01656	07/10/2017	725539699580		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017417563	01657	07/10/2017	725539699580		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017417566	01655	07/10/2017	725539699580		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0017393558	01652	07/10/2017	725539699580		MODULE REMOTE SENSOR INTERFACE
	NL	30279-2402-0501		               2	EA	2475	SHP5	0017478984	P21441	07/11/2017			CIRCUIT CARD ASSY BMU
	NL	30279-2402-0501		               2	EA	2475	SHP5	0017478984	P21443	07/11/2017			CIRCUIT CARD ASSY BMU
	ZLF	30279-0301		               1	EA	2475	SHP5	0017538220	B942-01671	07/13/2017	725539703428		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017493445	B942-01668	07/14/2017	725539704284		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0017427323	0882	07/17/2017	725539705501		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0017538450	B942-01672	07/13/2017	725539703314		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0014594234	0732	07/12/2017	725539702031		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0105		               1	EA	2475	SHP5	0017504157	00691	07/20/2017	725539707526		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0017224034	B942-01651	07/13/2017	725539703358		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0106		               1	EA	2475	RNN1	0011645465	B1483-00106	07/20/2017	725539707798		COMPUTER IVHMU
	ZLF	30277-1101		               1	EA	2475	SHP5	0017248121	00917	07/19/2017	725539707250		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017589507	00930	07/19/2017	725539707250		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017589374	00928	07/19/2017	725539707250		ELECTRONIC CONTROL UNIT JSF-WBDDS
	NL	B478-1		               1	EA	2475	SHP5	0017437149	2375	07/18/2017			CONTROL UNIT   GRUMMAN E-2C
	NL	B478-1		               1	EA	2475	SHP5	0017437152	2376	07/18/2017			CONTROL UNIT   GRUMMAN E-2C
	ZLF	473131-002		               1	EA	2475	SHP5	0017463952	1520K	07/24/2017	725539709919		SIGNAL CONDITIONER  F-15
	ZLF	30277-1101		               1	EA	2475	SHP5	0017212985	00916	07/21/2017	725539709286		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0017639326	00934	07/21/2017	725539709286		ELECTRONIC CONTROL UNIT JSF-WBDDS
	LR	30279-0301		               1	EA	2475	RNN1	0017734324	B942-01534	07/21/2017			VEHICLE HEALTH MANAGEMENT UNIT
	NL	B478-1		               1	EA	2475	SHP5	0017437127	2378	07/25/2017			CONTROL UNIT   GRUMMAN E-2C
