07/25/2017                                                                    Dynamic List Display                                                                           1

07/25/2017			                                                            Serial Numbers Assigned to Deliveries											  1

Serial Numbers Assigned to Deliveries

	DlvTy	Material		Delivery quantity	SU	Plnt	SLoc	Batch	Serial number	Ac.GI date	TRKID#	Forwarding agent tracking ID	Material Description
	NL	472147-001		               1	EA	2475	SHP5	0016229847	4223	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016229860	4224	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016253560	4225	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016253557	4226	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016253558	4227	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016295463	4228	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016384803	4229	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016384800	4230	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016384802	4231	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016384801	4232	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016410694	4233	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016424899	4234	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016515937	4236	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016216067	4219	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30277-1101		               1	EA	2475	SHP5	0016776190	00900	04/18/2017	722958604164		ELECTRONIC CONTROL UNIT JSF-WBDDS
	LR	30279-0301		               1	EA	2475	RNN1	0016930583	B942-01524	04/19/2017			VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0016579360	0830	04/26/2017	722958609968		CONTROLLER TEMP ENGINE NOSE GEARBOX
	LR	30279-0301		               1	EA	2475	RNN1	0016930171	B942-01430	04/19/2017			VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0016728803	2352	04/21/2017	722958607347		CONTROL UNIT  CANADAIR CL-601
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0016728828	2353	04/21/2017	722958607347		CONTROL UNIT  CANADAIR CL-601
	ZLF	30305-0101		               1	EA	2475	SHP5	0015749227	0783	04/21/2017	722958607130		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0016808460	B942-01626	04/20/2017	114666970632164		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0016579344	0829	04/20/2017	722958606042		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0016731773	0835	04/20/2017	722958606031		CONTROLLER TEMP ENGINE NOSE GEARBOX
	LR	473131-002		               1	EA	2475	RNN1	0016953588	1481	04/21/2017			SIGNAL CONDITIONER  F-15
	ZLF	30279-0301		               1	EA	2475	SHP5	0016859688	B942-01628	04/21/2017	114666970632423		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0016881437	B942-01631	04/21/2017	114666970632416		VEHICLE HEALTH MANAGEMENT UNIT
	LR	473131-002		               1	EA	2475	RNN1	0006745714	1434J	04/21/2017			SIGNAL CONDITIONER  F-15
	ZLF	30321-0101		               1	EA	2475	SHP5	0016579747	01590	04/28/2017	722958612302		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016779421	01597	04/28/2017	722958612200		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0016395690	B942-01613	04/25/2017	114666970632973		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0016731775	0837	04/26/2017	722958610001		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	RNN1	0016930583	B942-01524	04/27/2017	114666970633550		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	472147-001		               1	EA	2475	SHP5	0016526741	4237	04/27/2017	722958611269		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0016424919	4235	04/27/2017	722958611247		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807761	01600	04/28/2017	722958612390		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0016909667	B942-01635	04/26/2017	114666970633239		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30321-0101		               1	EA	2475	SHP5	0016779437	01598	04/28/2017	722958612335		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016779447	01599	04/28/2017	722958612416		MODULE REMOTE SENSOR INTERFACE
	ZLF	473131-002		               1	EA	2475	SHP5	0013658733	1500K	04/26/2017	722958609832		SIGNAL CONDITIONER  F-15
	ZLF	30321-0101		               1	EA	2475	SHP5	0016579749	01588	04/28/2017	722958612287		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016579746	01591	04/28/2017	722958612379		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807762	01601	04/28/2017	722958612243		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0016900405	B942-01633	04/26/2017	114666970633178		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0016930338	B942-01638	04/28/2017	114666970633901		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0016731777	0838	04/28/2017	722958612655		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0016309517	B942-01610	04/27/2017	114666970633604		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	473131-002		               1	EA	2475	RNN1	0016953588	1481	04/28/2017			SIGNAL CONDITIONER  F-15
	ZLF	30321-0101		               1	EA	2475	SHP5	0016820339	01608	04/28/2017	722958612449		MODULE REMOTE SENSOR INTERFACE
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0016728851	2354	05/02/2017	722958614901		CONTROL UNIT  CANADAIR CL-601
	ZLF	30027-0000-02		               1	EA	2475	SHP5	0016728863	2355	05/02/2017	722958614901		CONTROL UNIT  CANADAIR CL-601
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807760	01606	04/28/2017	722958612357		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807766	01604	04/28/2017	722958612313		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807765	01603	04/28/2017	722958612298		MODULE REMOTE SENSOR INTERFACE
	ZLF	30190-0304		               1	EA	2475	SHP5	0016880050	1069	04/28/2017	114666970633932		MPU
	ZLF	30321-0101		               1	EA	2475	SHP5	0016820340	01611	04/28/2017	722958612482		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016820337	01609	04/28/2017	722958612450		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0016965882	B942-01639	04/28/2017	114666970634014		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30321-0101		               1	EA	2475	SHP5	0016820338	01610	04/28/2017	722958612460		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807772	01605	04/28/2017	722958612346		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0016930284	B942-01636	04/28/2017	114666970633703		VEHICLE HEALTH MANAGEMENT UNIT
	LR	473131-002		               1	EA	2475	RNN1	0017013236	1481K	04/28/2017			SIGNAL CONDITIONER  F-15
	ZLF	30321-0101		               1	EA	2475	SHP5	0016807764	01602	04/28/2017	722958612254		MODULE REMOTE SENSOR INTERFACE
