07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart
	161490413	B478-1	ZP02	K38	K51	2475	        1	EA	06/21/2017	06/30/2017	06/26/2017		06/21/2017	06/21/2017	00:00:00	09:37:25
	161490414	B478-1	ZP02	K38	K51	2475	        1	EA	06/21/2017	07/06/2017			06/21/2017	06/21/2017	00:00:00	00:00:00
	161499199	30279-0105	ZP02	K38	K51	2475	        1	EA	06/23/2017	07/11/2017	06/23/2017		06/23/2017	06/23/2017	00:00:00	12:12:00
	161499373	30305-0101	ZP02	K38	K63	2475	        1	EA	07/05/2017	07/18/2017	06/26/2017		06/23/2017	07/05/2017	00:00:00	03:46:45
	161499374	30305-0101	ZP02	K38	K63	2475	        1	EA	07/06/2017	07/18/2017	06/26/2017		06/23/2017	07/06/2017	00:00:00	07:06:42
	161504333	30279-2402-0501	ZRW2	KA2	K51	2475	        1	EA	07/25/2017	07/25/2017			06/25/2017	07/25/2017	00:00:00	00:00:00
	161507344	30279-0301	ZGRT	K38	K51	2475	        1	EA	07/11/2017	07/26/2017	07/11/2017		06/26/2017	07/11/2017	00:00:00	05:02:21
	161510804	472147-001	ZP02	K38	K51	2475	        1	EA	06/23/2017	06/30/2017	06/29/2017		06/26/2017	06/23/2017	00:00:00	05:42:16
	161510825	30279-0301	ZP02	K38	K51	2475	        1	EA	06/28/2017	07/17/2017	06/27/2017		06/26/2017	06/28/2017	00:00:00	09:31:37
	161513288	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	06/26/2017	06/29/2017	07/13/2017		06/27/2017	06/26/2017	00:00:00	11:41:37
	161513289	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	06/26/2017	06/29/2017	07/20/2017		06/27/2017	06/26/2017	00:00:00	11:53:20
	161522389	473001	ZP02	K38	K51	2475	        1	EA	06/29/2017	07/12/2017	07/05/2017		06/28/2017	06/29/2017	00:00:00	09:26:50
	161522401	472147-001	ZP02	K38	K51	2475	        1	EA	06/23/2017	07/06/2017	06/30/2017		06/28/2017	06/23/2017	00:00:00	05:02:24
	161522415	30305-0101	ZP02	K38	K63	2475	        1	EA	06/27/2017	07/20/2017	07/06/2017		06/28/2017	06/27/2017	00:00:00	06:46:40
	161532325	30279-0301	ZGRT	K38	K51	2475	        1	EA	07/19/2017	07/31/2017	07/14/2017		06/30/2017	07/19/2017	00:00:00	10:46:20
	161535550	30305-0401-0101	ZRW2	KA2	K76	2475	        1	EA	07/31/2017	08/01/2017	07/06/2017		07/01/2017	07/31/2017	00:00:00	06:11:36
	161546189	472147-001	ZP02	K38	K51	2475	        1	EA	07/05/2017	07/14/2017	07/07/2017		07/05/2017	07/05/2017	00:00:00	06:51:30
	161546192	472147-001	ZP02	K38	K51	2475	        1	EA	07/05/2017	07/14/2017	07/07/2017		07/05/2017	07/05/2017	00:00:00	06:51:30
	161546193	472147-001	ZP02	K38	K51	2475	        1	EA	07/05/2017	07/14/2017	07/07/2017		07/05/2017	07/05/2017	00:00:00	06:51:30
	161546195	472147-001	ZP02	K38	K51	2475	        1	EA	07/05/2017	07/14/2017	07/07/2017		07/05/2017	07/05/2017	00:00:00	06:51:30
	161547113	30279-0301	ZP02	K38	K51	2475	        1	EA	07/07/2017	07/21/2017	07/06/2017		07/05/2017	07/07/2017	00:00:00	07:56:42
	161553846	30190-0203	ZP02	K38	K51	2475	        1	EA	07/06/2017	07/18/2017	07/07/2017		07/06/2017	07/06/2017	00:00:00	11:42:13
	161554187	30222-0201	ZP02	K38	K51	2475	        1	EA	07/06/2017	07/20/2017	07/10/2017		07/06/2017	07/06/2017	00:00:00	06:11:37
	161554228	30279-0301	ZP02	K38	K51	2475	        1	EA	07/07/2017	07/21/2017	07/07/2017		07/06/2017	07/07/2017	00:00:00	07:16:49
	161555208	472147-001	ZP02	K38	K51	2475	        1	EA	07/05/2017	07/14/2017	07/10/2017		07/06/2017	07/05/2017	00:00:00	09:41:54
	161555209	472147-001	ZP02	K38	K51	2475	        1	EA	07/07/2017	07/18/2017	07/10/2017		07/06/2017	07/07/2017	00:00:00	09:51:56
	161559033	30279-0301	ZP02	K38	K51	2475	        1	EA	07/07/2017	07/25/2017	07/10/2017		07/07/2017	07/07/2017	00:00:00	10:16:47
	161559072	472147-001	ZP02	K38	K51	2475	        1	EA	07/07/2017	07/18/2017	07/10/2017		07/07/2017	07/07/2017	00:00:00	10:21:32
	161560046	472147-001	ZP02	K38	K51	2475	        1	EA	07/10/2017	07/19/2017	07/10/2017		07/07/2017	07/10/2017	00:00:00	10:51:45
	161560171	30190-0203	ZP02	K38	K51	2475	        1	EA	07/07/2017	07/19/2017	07/10/2017		07/07/2017	07/07/2017	00:00:00	04:56:24
	161562997	473131-002	ZP02	K38	K51	2475	        1	EA	07/10/2017	08/08/2017			07/10/2017	07/10/2017	00:00:00	00:00:00
	161567502	30190-0203	ZP02	K38	K51	2475	        1	EA	07/11/2017	07/21/2017	07/10/2017		07/10/2017	07/11/2017	00:00:00	11:02:23
	161567508	30190-0203	ZP02	K38	K51	2475	        1	EA	07/11/2017	07/21/2017	07/10/2017		07/10/2017	07/11/2017	00:00:00	11:46:56
	161572515	30277-0402-0201	ZP02	K38	K51	2475	        5	EA	07/07/2017	07/14/2017			07/11/2017	07/07/2017	00:00:00	00:00:00
	161572544	472147-001	ZP02	K38	K51	2475	        1	EA	07/11/2017	07/20/2017	07/17/2017		07/11/2017	07/11/2017	00:00:00	09:11:59
	161573532	30190-0203	ZP02	K38	K51	2475	        1	EA	07/11/2017	07/21/2017	07/11/2017		07/11/2017	07/11/2017	00:00:00	08:51:49
	161573536	30190-0203	ZP02	K38	K51	2475	        1	EA	07/11/2017	07/21/2017	07/11/2017		07/11/2017	07/11/2017	00:00:00	11:02:41
	161580037	30279-2402-0501	ZRW2	KA2	K51	2475	        1	EA	08/12/2017	08/12/2017			07/12/2017	08/11/2017	00:00:00	00:00:00
	161580560	30321-0101	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/26/2017	07/14/2017		07/12/2017	07/13/2017	00:00:00	10:02:37
	161580569	30321-0101	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/26/2017	07/14/2017		07/12/2017	07/13/2017	00:00:00	10:02:37
	161580571	30321-0101	ZP02	K38	K51	2475	        1	EA	07/14/2017	07/27/2017	07/14/2017		07/12/2017	07/14/2017	00:00:00	10:02:37
	161583499	30279-0301	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/28/2017	07/17/2017		07/13/2017	07/13/2017	00:00:00	11:56:49
	161583504	30279-0301	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/28/2017	07/18/2017		07/13/2017	07/13/2017	00:00:00	08:16:37
	161583510	30279-0301	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/28/2017	07/13/2017		07/13/2017	07/13/2017	00:00:00	11:41:46
	161583520	473131-002	ZGRT	K38	K51	2475	        1	EA	08/09/2017	08/14/2017	07/13/2017		07/13/2017	08/09/2017	00:00:00	09:51:41
	161583561	30305-0101	ZGRT	K38	K63	2475	        1	EA	08/11/2017	08/14/2017	07/13/2017		07/13/2017	08/11/2017	00:00:00	08:31:56
	161583604	30305-0101	ZGRT	K38	K63	2475	        1	EA	08/10/2017	08/14/2017	07/13/2017		07/13/2017	08/10/2017	00:00:00	05:51:36
	161583634	30279-0301	ZGRT	K38	K51	2475	        1	EA	07/28/2017	08/14/2017	07/14/2017		07/13/2017	07/28/2017	00:00:00	05:12:31
	161583687	30279-0301	ZGRT	K38	K51	2475	        1	EA	07/28/2017	08/14/2017	07/13/2017		07/13/2017	07/28/2017	00:00:00	10:36:46
	161585556	472147-001	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/24/2017	07/17/2017		07/13/2017	07/13/2017	00:00:00	09:47:19
	161585562	472147-001	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/24/2017	07/17/2017		07/13/2017	07/13/2017	00:00:00	10:19:49
	161585594	472147-001	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/24/2017	07/17/2017		07/13/2017	07/13/2017	00:00:00	10:41:56
	161585633	30321-0101	ZP02	K38	K51	2475	        1	EA	07/14/2017	07/27/2017	07/14/2017		07/13/2017	07/14/2017	00:00:00	10:02:37
	161585634	30321-0101	ZP02	K38	K51	2475	        1	EA	07/14/2017	07/27/2017	07/14/2017		07/13/2017	07/14/2017	00:00:00	10:02:37
	161585635	30321-0101	ZP02	K38	K51	2475	        1	EA	07/17/2017	07/28/2017	07/14/2017		07/13/2017	07/17/2017	00:00:00	10:02:37
	161585636	30321-0101	ZP02	K38	K51	2475	        1	EA	07/17/2017	07/28/2017	07/14/2017		07/13/2017	07/17/2017	00:00:00	10:02:37
	161585786	30277-0402-0201	ZP02	K38	K51	2475	        5	EA	07/14/2017	07/21/2017			07/13/2017	07/14/2017	00:00:00	00:00:00
	161586889	30279-0301	ZP02	K38	K51	2475	        1	EA	07/13/2017	07/31/2017	07/17/2017		07/13/2017	07/13/2017	00:00:00	05:02:13
	161590248	30321-0101	ZP02	K38	K51	2475	        1	EA	07/17/2017	07/28/2017	07/17/2017		07/14/2017	07/17/2017	00:00:00	08:04:21
	161590250	30321-0101	ZP02	K38	K51	2475	        1	EA	07/17/2017	07/28/2017	07/17/2017		07/14/2017	07/17/2017	00:00:00	08:04:21
	161590360	30279-0301	ZGRT	K38	K51	2475	        1	EA	07/28/2017	08/14/2017			07/14/2017	07/28/2017	00:00:00	00:00:00
	161602451	30277-1101	ZP02	K38	K63	2475	        1	EA	07/18/2017	07/28/2017	07/20/2017		07/18/2017	07/18/2017	00:00:00	12:36:48
	161602565	30277-0402-0201	ZP02	K38	K51	2475	        5	EA	07/18/2017	07/25/2017			07/18/2017	07/18/2017	00:00:00	00:00:00
	161602572	30277-0402-0201	ZP02	K38	K51	2475	        5	EA	07/18/2017	07/25/2017			07/18/2017	07/18/2017	00:00:00	00:00:00
	161603881	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	07/17/2017	07/20/2017			07/18/2017	07/17/2017	00:00:00	00:00:00
	161603886	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	07/17/2017	07/20/2017			07/18/2017	07/17/2017	00:00:00	00:00:00
	161603975	30279-0301	ZP02	K38	K51	2475	        1	EA	07/18/2017	08/03/2017	07/19/2017		07/18/2017	07/18/2017	00:00:00	07:57:04
	161603985	30321-0101	ZP02	K38	K51	2475	        1	EA	07/18/2017	07/31/2017	07/18/2017		07/18/2017	07/18/2017	00:00:00	12:07:16
	161603997	30321-0101	ZP02	K38	K51	2475	        1	EA	07/18/2017	07/31/2017	07/18/2017		07/18/2017	07/18/2017	00:00:00	12:07:16
	161603998	30321-0101	ZP02	K38	K51	2475	        1	EA	07/18/2017	07/31/2017	07/18/2017		07/18/2017	07/18/2017	00:00:00	12:07:16
	161603999	30321-0101	ZP02	K38	K51	2475	        1	EA	07/18/2017	07/31/2017	07/18/2017		07/18/2017	07/18/2017	00:00:00	12:07:16
	161604000	30321-0101	ZP02	K38	K51	2475	        1	EA	07/18/2017	07/31/2017	07/19/2017		07/18/2017	07/18/2017	00:00:00	03:11:33
	161604001	30321-0101	ZP02	K38	K51	2475	        1	EA	07/19/2017	08/01/2017	07/19/2017		07/18/2017	07/19/2017	00:00:00	03:11:33
	161604002	30321-0101	ZP02	K38	K51	2475	        1	EA	07/19/2017	08/01/2017	07/19/2017		07/18/2017	07/19/2017	00:00:00	03:11:33
	161604003	30321-0101	ZP02	K38	K51	2475	        1	EA	07/19/2017	08/01/2017	07/19/2017		07/18/2017	07/19/2017	00:00:00	03:11:33
	161610881	30321-0101	ZP02	K38	K51	2475	        1	EA	07/19/2017	08/01/2017	07/19/2017		07/19/2017	07/19/2017	00:00:00	09:26:54
